,title,link,room_size,price,situation,renters_total,renters_male,renters_female,wanted_male,wanted_female,no_gender_limit
0,20 qm WG Zimmer in großer Wohnung (120qm) in Sendling,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6910413.html,21.0,700.0,"3er WG (0w,1m)",3,1,0,0,0,
1,"Zimmer, 16qm (mit Balkon) ruhig in großer Wohnung (120qm)",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6895235.html,16.0,650.0,"3er WG (0w,1m)",3,1,0,0,0,
2,Helles Zimmer (Südseite + Balkon) in Nord-Schwabinger ***WG-HAUS (INKL. PUTZFRAU)***,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-Am-Hart.5094516.html,15.0,690.0,"4er WG (0w,3m)",4,3,0,1,0,
3,WG Zimmer im Münchener Osten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Berg-am-Laim.6943626.html,11.0,455.0,"4er WG (1w,2m)",4,2,1,0,0,
4,"140,-€ pro Woche oder 400.-€ pro Monat- WG-Zimmer für kurze Zeit oder länger (Wochenweise oder Tageweise), Teilmöbliert",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6821697.html,20.0,400.0,"2er WG (0w,1m)",2,1,0,0,0,
5,Männlicher WG Mitbewohner für 4er WG im Lehel gesucht,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Altstadt-Lehel.6943634.html,11.0,465.0,"4er WG (2w,1m)",4,1,2,1,0,
6,Möbliertes Zimmer in neu renoviertem Einfamilienhaus,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Trudering.6528398.html,21.0,650.0,"2er WG (1w,0m)",2,0,1,0,1,
7,Gemütliche 2er WG im schönen Untergiesing-Harlachinh,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Untergiesing-Harlaching.6941694.html,12.0,584.0,"2er WG (1w,0m)",2,0,1,0,0,
8,WG mit Garten am Olympiapark,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.5255645.html,15.0,680.0,"5er WG (3w,1m)",5,1,3,0,1,
9,Nettes Zimmer in einer 2er WG in Bogenhausen!,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6756650.html,9.0,686.0,"2er WG (1w,0m)",2,0,1,0,1,
10,"Zimmer Frei , Zwischenmiete! only Girls !!",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.5637626.html,20.0,680.0,"3er WG (2w,0m)",3,0,2,0,1,
11,"Tolle Lage in Schwabing, München gemeinsam erleben!",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Freimann.5058099.html,12.0,200.0,"7er WG (0w,6m)",7,6,0,1,0,
12,voll ausgestattetes Zimmer 15qm hell und ruhig in Hadern,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Hadern.3436897.html,16.0,530.0,"2er WG (0w,1m)",2,1,0,0,1,
13,"Helles, ruhiges , sonniges Zimmer zum Innenhof",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.1190177.html,18.0,680.0,"4er WG (3w,0m)",4,0,3,0,1,
14,Möbliertes WG-Zimmer in komplett saniertem Altbau - 14qm in super Lage am Pariser Platz,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6068422.html,14.0,730.0,"2er WG (0w,1m)",2,1,0,0,0,
15,Zimmer zum Innenhof mit Blick zum Kastanienbaum,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.1159604.html,23.0,750.0,"4er WG (3w,0m)",4,0,3,0,1,
16,2er WG zentral - Zimmer 16 m2 mit 30m2 Balkon - am Westpark,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.5873396.html,16.0,595.0,"2er WG (1w,0m)",2,0,1,0,0,
17,Ein zimmer frei in Wladtrudering für ein Jahr.,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Trudering.6888895.html,18.0,675.0,"5er WG (1w,3m)",5,3,1,0,0,
18,WG-Zimmer in großem Einfamilienhaus,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6943513.html,16.0,650.0,"5er WG (0w,0m)",5,0,0,0,0,
19,WG Zimmer in neuem WG-Haus / S-Bahn-Bereich S4 bei Geltendorf,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Eresing-Geltendorf.6781187.html,15.0,599.0,"6er WG (1w,3m)",6,3,1,0,0,
20,Wg-Zimmer in großem Haus mit Gartenblick,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6943430.html,11.0,580.0,"5er WG (0w,0m)",5,0,0,0,0,
21,"Ideal f.Praktikum b.BMW/MAN/MTU, möbliertes Zi.mit Miniküche+VDSL",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-Am-Hart.1834610.html,15.0,697.0,"3er WG (0w,2m)",3,2,0,1,0,
22,Helles  Zimmer  /   30 qm  /   Balkon  /  Schwabing-Nord  /  U-Bahn-U2  (Ring 3),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Nord--naehe-BMW-Innovations-Zentrum.470230.html,30.0,480.0,"3er WG (1w,1m)",3,1,1,0,1,
23,"Möbliertes Zimmer, 2er WG am Westpark",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwanthalerhoehe-Laim.6943416.html,17.0,440.0,"2er WG (1w,0m)",2,0,1,0,0,
24,Ruhiges Zimmer mit eigenem Bad in City Loft /Maxvorstadt,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.5887678.html,27.0,987.0,"2er WG (1w,0m)",2,0,1,0,0,
25,WG-Zimmer mit Balkon und Fußbodenheizung in München zu vermieten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Forstenried.6943370.html,12.0,800.0,"3er WG (0w,2m)",3,2,0,0,0,
26,WG Zimmer in schöner Neubau-Wohnung / MUC-Ramersdorf /Zwischenmiete,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6939931.html,13.0,650.0,"3er WG (1w,1m)",3,1,1,0,0,
27,2er WG Bonner Platz - 16m2 Zimmer,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6842977.html,16.0,699.0,"2er WG (1w,0m)",2,0,1,0,0,
28,teilmöbiliertes WG-Zimmer in netter 3-er WG zum TAUSCH gegen 1- oder 2-Zimmer Wohnung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6943344.html,18.0,630.0,"3er WG (2w,0m)",3,0,2,0,1,
29,Möbliertes 16 qm² in Giesing,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Obergiesing.4680486.html,16.0,650.0,"2er WG (0w,1m)",2,1,0,1,0,
30,Möbliertes WG-Zimmer in geräumigen Haus mit großem Garten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Unterhaching.6787124.html,14.0,700.0,"3er WG (0w,2m)",3,2,0,0,0,
31,Mansardenzimmer mit eigener Toilette,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Forstenried-Fuerstenried.6940835.html,12.0,520.0,"4er WG (3w,0m)",4,0,3,0,0,
32,"Zimmer, 15 qm Schwabing Mitte, ohne DECT, ohne Wlan",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.5651064.html,15.0,326.0,"3er WG (1w,1m)",3,1,1,0,0,
33,16 qm Zimmer in netter zweier WG,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Obergiesing.6394025.html,16.0,574.0,"2er WG (1w,0m)",2,0,1,0,0,
34,"Helles, sonniges Zimmer in München-Solln direkt an der S7",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Solln.6920148.html,16.0,470.0,"4er WG (3w,0m)",4,0,3,0,1,
35,2er Studenten-WG in direkter Uni-Lage,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6943230.html,18.0,400.0,"2er WG (1w,0m)",2,0,1,0,0,
36,Möbliertes 10qm Zimmer in U5 nähe,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.2528590.html,10.0,435.0,"4er WG (0w,2m)",4,2,0,0,0,
37,MitbewohnerIn für 2er WG am Hirschgarten gesucht,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6480260.html,16.0,770.0,"2er WG (0w,1m)",2,1,0,0,0,
38,14qm Schlafzimmer mit 22qm Wohnzimmer über den Dächern Münchens,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6943204.html,14.0,700.0,"2er WG (0w,1m)",2,1,0,0,0,
39,Wg-Zimmer in Milbertshofen,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-Am-Hart.6769166.html,20.0,650.0,"2er WG (0w,1m)",2,1,0,0,0,
